_ - DATA,_ - id,URL,_ - creationDate,_ - modificationDate,_ - type,_ - name,_ - leadImg,_ - title,_ - _ownSite,_ - text,_ - conditionDestroyed,_ - conditionTranslocated,_ - conditionDamaged,_ - conditionMissing,_ - conditionPaintedOver,_ - verbaleDating,_ - positionCeiling,_ - positionWall,_ - positionOnEquipment,_ - orientationEast,_ - orientationWest,_ - orientationNorth,_ - orientationSouth,_ - orientationCenter,_ - gender,_ - gnd,_ - locationLng,_ - locationLat,_ - addressState,_ - addressLocality,_ - addressCountry,_ - addressZip,_ - shortText,_ - addressStreet,_ - bildindex,_ - width,_ - length,_ - tempBibliography,_ - roomNumber,_ - signature,_ - height,_ - diameter,_ - images - images,_ - iconography - iconography,_ - productionMethods - productionMethods,_ - functions - functions,_ - productionMaterials - productionMaterials,_ - alternativeNames - alternativeNames,_ - tempImageLicense - license,_ - tempImageLicense - additionalLicenseHolderInfo,_ - conditionDestroyed - conditionDestroyed
e78997bf-9c24-4c0c-9d90-76ec15ab3d7d,e78997bf-9c24-4c0c-9d90-76ec15ab3d7d,https://www.deckenmalerei.eu/e78997bf-9c24-4c0c-9d90-76ec15ab3d7d,1620806012058,1620806012058,OBJ#PERSON,"Friedrich Karl August, Prince of Waldeck and Pyrmont",,,,,,,,,,,,,,,,,,,male,102035202,,,,,,,,,,,,,,,,,,,,,,,,,
f4f93210-b529-458c-8f7e-90b2c2fe7992,f4f93210-b529-458c-8f7e-90b2c2fe7992,https://www.deckenmalerei.eu/f4f93210-b529-458c-8f7e-90b2c2fe7992,1588947988099,1588947988099,OBJ#PERSON,"Friedrich Karl August, Prince of Waldeck and Pyrmont",,,,,,,,,,,,,,,,,,,male,102035202,,,,,,,,,,,,,,,,,,,,,,,,,
e9e5df57-8c63-4924-905c-f49cc22fc06b,e9e5df57-8c63-4924-905c-f49cc22fc06b,https://www.deckenmalerei.eu/e9e5df57-8c63-4924-905c-f49cc22fc06b,1649077797555,1649077797555,OBJ#PERSON,"Ernst Ludwig I, Duke of Saxe-Meiningen",,,,,,,,,,,,,,,,,,,male,102308888,,,,,,,,,,,,,,,,,,,,,,,,,
f5155821-909f-4a2e-94bf-c7aa6f9259ad,f5155821-909f-4a2e-94bf-c7aa6f9259ad,https://www.deckenmalerei.eu/f5155821-909f-4a2e-94bf-c7aa6f9259ad,1589651395615,1589651395615,OBJ#PERSON,"Ernst Ludwig I, Duke of Saxe-Meiningen",,,,,,,,,,,,,,,,,,,male,102308888,,,,,,,,,,,,,,,,,,,,,,,,,
28c69f76-1169-400f-b752-5790c3f42975,28c69f76-1169-400f-b752-5790c3f42975,https://www.deckenmalerei.eu/28c69f76-1169-400f-b752-5790c3f42975,1625050029570,1625059944003,OBJ#PERSON,Johann Christoph von Freyberg-Allmendingen,,,,,,,,,,,,,,,,,,,male,102375526,,,,,,,,,,,,,,,,,,,,,,,,,
23348f9f-015f-4d0e-a503-97120600a752,23348f9f-015f-4d0e-a503-97120600a752,https://www.deckenmalerei.eu/23348f9f-015f-4d0e-a503-97120600a752,1644491833122,1644491833122,OBJ#PERSON,Johann Christoph von Freyberg-Allmendingen,,,,,,,,,,,,,,,,,,,male,102375526,,,,,,,,,,,,,,,,,,,,,,"Ioannes Christophorus, Episcopus Augustanus",,,
b31771b8-eb1c-4955-93f5-9e0602cca37f,b31771b8-eb1c-4955-93f5-9e0602cca37f,https://www.deckenmalerei.eu/b31771b8-eb1c-4955-93f5-9e0602cca37f,1623343176695,1623343176695,OBJ#PERSON,Franz Anton Leitenstorffer,,,,,,,,,,,,,,,,,,,male,118572504,,,,,,,,,,,,,,,,,,,,,,"Leydensdorff, Franz Anton von",,,
d6bc88fe-5f18-4765-906c-acf08cb98178,d6bc88fe-5f18-4765-906c-acf08cb98178,https://www.deckenmalerei.eu/d6bc88fe-5f18-4765-906c-acf08cb98178,1601297350586,1601297350586,OBJ#PERSON,Franz Anton Leitenstorffer,,,,,,,,,,,,,,,,,,,male,118572504,,,,,,,,,,,,,,,,,,,,,,,,,
5f63faa0-c7d5-11e9-8741-07f577d624c4,5f63faa0-c7d5-11e9-8741-07f577d624c4,https://www.deckenmalerei.eu/5f63faa0-c7d5-11e9-8741-07f577d624c4,1566805554602,1601629539155,OBJ#PERSON,Clemens August of Bavaria,,,,,,,,,,,,,,,,,,,male,118634224,,,,,,,,,,,,,,,,,,,,,,"Clemens August, Fürstbischof, Hildesheim",,,
35ed5ca7-01e6-4d85-bb77-2151afd5a251,35ed5ca7-01e6-4d85-bb77-2151afd5a251,https://www.deckenmalerei.eu/35ed5ca7-01e6-4d85-bb77-2151afd5a251,1630503847227,1630503847227,OBJ#PERSON,Clemens August of Bavaria,,,,,,,,,,,,,,,,,,,male,118634224,,,,,,,,,,,,,,,,,,,,,,,,,
c36cd2de-01e0-4c41-979c-d0165a409949,c36cd2de-01e0-4c41-979c-d0165a409949,https://www.deckenmalerei.eu/c36cd2de-01e0-4c41-979c-d0165a409949,1646752372939,1646752372939,OBJ#PERSON,Agostino Carracci,,,,,,,,,,,,,,,,,,,male,118668536,,,,,,,,,,,,,,,,,,,,,,,,,
8f69a66f-c197-486f-8774-d506c2065232,8f69a66f-c197-486f-8774-d506c2065232,https://www.deckenmalerei.eu/8f69a66f-c197-486f-8774-d506c2065232,1590595742306,1590595742306,OBJ#PERSON,Agostino Carracci,,,,,,,,,,,,,,,,,,,male,118668536,,,,,,,,,,,,,,,,,,,,,,,,,
b4a11e56-8238-42bc-8804-7ec819526d97,b4a11e56-8238-42bc-8804-7ec819526d97,https://www.deckenmalerei.eu/b4a11e56-8238-42bc-8804-7ec819526d97,1592486532570,1593092002580,OBJ#PERSON,Johann Evangelist Holzer,,,,,,,,,,,,,,,,,,,male,118706810,,,,,,,,,,,,,,,,,,,,,,,,,
62dfbcea-8908-43aa-95f4-7cf1eb5c5951,62dfbcea-8908-43aa-95f4-7cf1eb5c5951,https://www.deckenmalerei.eu/62dfbcea-8908-43aa-95f4-7cf1eb5c5951,1594992263114,1594992263114,OBJ#PERSON,Johann Evangelist Holzer,,,,,,,,,,,,,,,,,,,male,118706810,,,,,,,,,,,,,,,,,,,,,,,,,
2b256520-c7e5-11e9-91e0-9bbdba1c3ce9,2b256520-c7e5-11e9-91e0-9bbdba1c3ce9,https://www.deckenmalerei.eu/2b256520-c7e5-11e9-91e0-9bbdba1c3ce9,1566812269682,1566812269682,OBJ#PERSON,Joseph Dominikus of Lamberg,,,,,,,,,,,,,,,,,,,male,118713175,,,,,,,,,,,,,,,,,,,,,,,,,
e27a0b2f-4851-4b04-8838-e1a8c3b17604,e27a0b2f-4851-4b04-8838-e1a8c3b17604,https://www.deckenmalerei.eu/e27a0b2f-4851-4b04-8838-e1a8c3b17604,1588618905263,1601631780150,OBJ#PERSON,Joseph Dominikus of Lamberg,,,,,,,,,,,,,,,,,,,male,118713175,,,,,,,,,,,,,,,,,,,,,,"Lamberg, Joseph Dominikus von",,,
